Code1_Raw,Code2_Raw,Label
"def count_neg(lst):
    c = 0
    for x in lst:
        if x < 0:
            c += 1
    return c","def count_neg(lst):
    c = 0
    i = 0
    while i < len(lst):
        if lst[i] < 0:
            c += 1
        i += 1
    return c",1
"def double(x):
    return x * 2","def double(y):
    z = y + y
    return z",1
"def sum_even(n):
    s = 0
    for i in range(n):
        if i % 2 == 0:
            s += i
    return s","def sum_even(n):
    s = 0
    i = 0
    while i < n:
        if i % 2 == 0:
            s += i
        i += 1
    return s",1
"def contains(lst, x):
    for v in lst:
        if v == x:
            return True
    return False","def contains(lst, x):
    return x in lst",1
"def is_positive(x):
    return x > 0","def is_positive(y):
    if y > 0:
        return True
    return False",1
"def square_sum(a, b):
    return a*a + b*b","def square_sum(x, y):
    s1 = x * x
    s2 = y * y
    return s1 + s2",1
"def sum_list(lst):
    return sum(lst)","def print_list(lst):
    for x in lst:
        print(x)",0
"def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n-1)","def reverse(s):
    return s[::-1]",0
"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, n):
        if n % i == 0:
            return False
    return True","def max_val(a, b):
    return a if a > b else b",0
"def read_file(name):
    f = open(name)
    return f.read()","def square(x):
    return x * x",0
"n = 10
total = 0

for i in range(n):
    if i % 2 == 0:
        print(i)
        total += i

print(""Sum:"", total)","n = 10
total = 0
i = 0

while i < n:
    if i % 2 == 0:
        print(i)
        total = total + i
    i += 1

print(""Sum:"", total)",1
"x = 5
if x > 0:
    print(""Positive"")
else:
    print(""Negative"")","n = 10
for i in range(n):
    print(i)",0
"a = 5
b = 7
c = a * a + b * b
print(c)","s = ""hello world""
result = s.upper()
print(result)",0
"arr = [4, 1, 3, 2]
arr.sort()
print(arr)","arr = [4, 1, 3, 2]
count = 0

for x in arr:
    count += 1

print(count)",0
"arr = [2, 4, 6, 7, 8]
is_odd = False

for x in arr:
    if x % 2 != 0:
        is_odd = True
        break

print(is_odd)","x = 7
is_odd = x % 2 != 0
print(is_odd)",0
"arr = [3, -1, 5, 0, 7, -2]
count = 0

for x in arr:
    if x > 0:
        count += 1

print(""Positive count:"", count)","arr = [3, -1, 5, 0, 7, -2]
count = 0
i = 0

while i < len(arr):
    if arr[i] > 0:
        count = count + 1
    i += 1

print(""Positive count:"", count)",1
"nums = [1, 2, 3, 4, 5, 6]
total = 0

for x in nums:
    total += x
    if total > 10:
        break

print(""Total:"", total)","nums = [1, 2, 3, 4, 5, 6]
total = 0
i = 0

while i < len(nums):
    total = total + nums[i]
    if total > 10:
        break
    i += 1

print(""Total:"", total)",1
"values = [8, 3, 6, 2, 9]
min_val = values[0]

for x in values:
    if x < min_val:
        min_val = x

print(""Min:"", min_val)","values = [8, 3, 6, 2, 9]
min_val = values[0]
i = 1

while i < len(values):
    if values[i] < min_val:
        min_val = values[i]
    i += 1

print(""Min:"", min_val)",1
"nums = [1, 2, 3, 4]
product = 1

for x in nums:
    product *= x

print(""Product:"", product)","nums = [1, 2, 3, 4]
product = 1
i = 0

while i < len(nums):
    product = product * nums[i]
    i += 1

print(""Product:"", product)",0
"nums = [2, 4, 6, 8]
all_even = True

for x in nums:
    if x % 2 != 0:
        all_even = False
        break

print(all_even)","nums = [2, 4, 6, 8]
all_even = True
i = 0

while i < len(nums):
    if nums[i] % 2 != 0:
        all_even = False
        break
    i += 1

print(all_even)",1
"x = 7
if x > 5:
    print(""Large"")
else:
    print(""Small"")","nums = [1, 2, 3, 4]
total = 0

for x in nums:
    total += x

print(total)",0
"arr = [4, 7, 1, 9]
found = False

for x in arr:
    if x == 7:
        found = True
        break

print(found)","arr = [4, 7, 1, 9]
arr.sort()
print(arr)",0
"x = 10
is_large = x > 100
print(is_large)","r = 3
area = 3.14 * r * r
print(area)",0
"arr = [5, 6, 7]
count = 0

for x in arr:
    count += 1

print(count)","text = ""hello""
upper = text.upper()
print(upper)",0
"n = 20
total = 0

for i in range(n):
    if i % 2 != 0:
        total += i

print(""Odd sum:"", total)","n = 20
total = 0
i = 0

while i < n:
    if i % 2 != 0:
        total = total + i
    i += 1

print(""Odd sum:"", total)",1
"text = ""artificial intelligence""
count = 0

for ch in text:
    if ch in ""aeiou"":
        count += 1

print(""Vowels:"", count)","text = ""artificial intelligence""
result = text.upper()
print(result)",0
"n = 17
is_prime = True

if n < 2:
    is_prime = False

for i in range(2, n):
    if n % i == 0:
        is_prime = False
        break

print(is_prime)","x = 16
print(x % 2 == 0)",0
"nums = [1, 3, 5, 7, 9]
total = 0

for x in nums:
    total += x
    if total > 10:
        break

print(total)","nums = [1, 3, 5, 7, 9]
total = 0

for x in nums:
    total += x

print(total)",0
"text = ""machinelearning""
count = 0

for ch in text:
    count += 1

print(count)","text = ""machinelearning""
print(len(text))",0
"n = 20
total = 0

for i in range(n):
    if i % 2 == 0:
        total += i

print(""Sum:"", total)","n = 20
total = 0

for i in range(n):
    if i % 2 == 0:
        total += i

print(""Sum:"", total)",1
"arr = [3, 7, 1, 9, 4]
max_val = arr[0]

for x in arr:
    if x > max_val:
        max_val = x

print(max_val)","arr = [3, 7, 1, 9, 4]
max_val = arr[0]

for x in arr:
    if x > max_val:
        max_val = x

print(max_val)",1
"arr = [2, 4, 6, 8, 10]
found = False

for x in arr:
    if x == 6:
        found = True
        break

print(found)","arr = [2, 4, 6, 8, 10]
found = False

for x in arr:
    if x == 6:
        found = True
        break

print(found)",1
"x = 5

if x > 0:
    print(""Positive"")
else:
    print(""Negative"")","x = 5

if x > 0:
    print(""Positive"")
else:
    print(""Negative"")",1
"nums = [1, 2, 3, 4, 5, 6]
total = 0

for x in nums:
    total += x
    if total > 10:
        break

print(total)","nums = [1, 2, 3, 4, 5, 6]
total = 0

for x in nums:
    total += x
    if total > 10:
        break

print(total)",1
"nums = [2, 4, 6, 8]
all_even = True

for x in nums:
    if x % 2 != 0:
        all_even = False
        break

print(all_even)","nums = [2, 4, 6, 8]
all_even = True

for x in nums:
    if x % 2 != 0:
        all_even = False
        break

print(all_even)",1
"nums = [2, 4, 6, 8]
all_even = True

for x in nums:
    if x % 2 != 0:
        all_even = False
        break

print(all_even)","n = 20
total = 0
i = 0

while i < n:
    if i % 2 == 0:
        total = total + i
    i += 1

print(total)",1
"for i in range(5):
    print(i)","x = 5
if x > 0:
    print(""Positive"")
else:
    print(""Negative"")",0
"a = 4
b = 6
result = a * b
print(result)","text = ""hello""
print(text.upper())",0
"arr = [4, 2, 1, 3]
arr.sort()
print(arr)","arr = [4, 2, 1, 3]
count = 0

for x in arr:
    count += 1

print(count)",0
"x = 10
flag = x > 5
print(flag)","for i in range(3):
    print(i)",0
"n = 7
is_prime = True

for i in range(2, n):
    if n % i == 0:
        is_prime = False
        break

print(is_prime)","nums = [1, 2, 3, 4]
total = 0

for x in nums:
    total += x

print(total)",0
"arr = [1, 3, 5, 7]
found = False

for x in arr:
    if x == 3:
        found = True
        break

print(found)","arr = [1, 3, 5, 7]
arr.reverse()
print(arr)",0
"n = 20
total = 0
for i in range(n):
    if i % 2 == 0:
        total += i
print(total)","n = 20
total = 0
i = 0
while i < n:
    if i % 2 == 0:
        total = total + i
    i += 1
print(total)",1
"arr = [3, 8, 2, 9, 5]
max_val = arr[0]
for x in arr:
    if x > max_val:
        max_val = x
print(max_val)","arr = [3, 8, 2, 9, 5]
i = 1
max_val = arr[0]
while i < len(arr):
    if arr[i] > max_val:
        max_val = arr[i]
    i += 1
print(max_val)",1
"arr = [2, 4, 6, 8]
found = False
for x in arr:
    if x == 6:
        found = True
        break
print(found)","arr = [2, 4, 6, 8]
i = 0
found = False
while i < len(arr):
    if arr[i] == 6:
        found = True
        break
    i += 1
print(found)",1
"nums = [1, 2, 3, 4, 5]
total = 0
for x in nums:
    total += x
    if total > 6:
        break
print(total)","nums = [1, 2, 3, 4, 5]
i = 0
total = 0
while i < len(nums):
    total = total + nums[i]
    if total > 6:
        break
    i += 1
print(total)",1
"arr = [-1, 3, 5, -2, 7]
count = 0
for x in arr:
    if x > 0:
        count += 1
print(count)","arr = [-1, 3, 5, -2, 7]
count = 0
i = 0
while i < len(arr):
    if arr[i] > 0:
        count += 1
    i += 1
print(count)",1
"nums = [2, 4, 6, 8]
all_even = True
for x in nums:
    if x % 2 != 0:
        all_even = False
        break
print(all_even)","nums = [2, 4, 6, 8]
i = 0
all_even = True
while i < len(nums):
    if nums[i] % 2 != 0:
        all_even = False
        break
    i += 1
print(all_even)",1
"for i in range(5):
    print(i)","x = 5
if x > 0:
    print(""Positive"")
else:
    print(""Negative"")",0
"a = 4
b = 6
print(a * b)","text = ""hello""
print(text.upper())",0
"arr = [4, 2, 1, 3]
arr.sort()
print(arr)","arr = [4, 2, 1, 3]
count = 0
for x in arr:
    count += 1
print(count)",0
"x = 10
flag = x > 5
print(flag)","for i in range(3):
    print(i)",0
"n = 20
total = 0
for i in range(n):
    if i % 2 == 0:
        total += i
print(total)","n = 20
total = 0
i = 0
while i < n:
    if i % 2 == 0:
        total = total + i
    i += 1
print(total)",1
"arr = [3, 8, 2, 9, 5]
max_val = arr[0]
for x in arr:
    if x > max_val:
        max_val = x
print(max_val)","arr = [3, 8, 2, 9, 5]
i = 1
max_val = arr[0]
while i < len(arr):
    if arr[i] > max_val:
        max_val = arr[i]
    i += 1
print(max_val)",1
"arr = [2, 4, 6, 8]
found = False
for x in arr:
    if x == 6:
        found = True
        break
print(found)","arr = [2, 4, 6, 8]
i = 0
found = False
while i < len(arr):
    if arr[i] == 6:
        found = True
        break
    i += 1
print(found)",1
"nums = [1, 2, 3, 4, 5]
total = 0
for x in nums:
    total += x
    if total > 6:
        break
print(total)","nums = [1, 2, 3, 4, 5]
i = 0
total = 0
while i < len(nums):
    total = total + nums[i]
    if total > 6:
        break
    i += 1
print(total)",1
"arr = [-1, 3, 5, -2, 7]
count = 0
for x in arr:
    if x > 0:
        count += 1
print(count)","arr = [-1, 3, 5, -2, 7]
count = 0
i = 0
while i < len(arr):
    if arr[i] > 0:
        count += 1
    i += 1
print(count)",1
"nums = [2, 4, 6, 8]
all_even = True
for x in nums:
    if x % 2 != 0:
        all_even = False
        break
print(all_even)","nums = [2, 4, 6, 8]
i = 0
all_even = True
while i < len(nums):
    if nums[i] % 2 != 0:
        all_even = False
        break
    i += 1
print(all_even)",1
"for i in range(5):
    print(i)","x = 5
if x > 0:
    print(""Positive"")
else:
    print(""Negative"")",0
"a = 4
b = 6
print(a * b)","text = ""hello""
print(text.upper())",0
"arr = [1, 2, 3, 4, 5]
count = 0
for x in arr:
    if x % 2 != 0:
        count += 1
print(count)","arr = [1, 2, 3, 4, 5]
count = 0
i = 0
while i < len(arr):
    if arr[i] % 2 != 0:
        count = count + 1
    i += 1
print(count)",1
"nums = [2, 5, 8, 1, 9]
total = 0
for x in nums:
    if x > 4:
        total += x
print(total)","nums = [2, 5, 8, 1, 9]
total = 0
i = 0
while i < len(nums):
    if nums[i] > 4:
        total = total + nums[i]
    i += 1
print(total)",1
"arr = [3, 5, -2, 7]
has_negative = False
for x in arr:
    if x < 0:
        has_negative = True
        break
print(has_negative)","arr = [3, 5, -2, 7]
i = 0
has_negative = False
while i < len(arr):
    if arr[i] < 0:
        has_negative = True
        break
    i += 1
print(has_negative)",1
"nums = [1, 2, 3, 4]
total = 0
for x in nums:
    total += x * x
print(total)","nums = [1, 2, 3, 4]
total = 0
i = 0
while i < len(nums):
    total = total + nums[i] * nums[i]
    i += 1
print(total)",1
"arr = [4, 6, 8, 9]
count = 0
for _ in arr:
    count += 1
print(count)","arr = [4, 6, 8, 9]
i = 0
count = 0
while i < len(arr):
    count += 1
    i += 1
print(count)",1
"nums = [1, 2, 3, 4, 5]
for x in nums:
    print(x)
    if x == 3:
        break","nums = [1, 2, 3, 4, 5]
i = 0
while i < len(nums):
    print(nums[i])
    if nums[i] == 3:
        break
    i += 1",1
"arr = [5, 3, 9, 2, 8]
min_val = arr[0]
for x in arr:
    if x < min_val:
        min_val = x
print(min_val)","arr = [5, 3, 9, 2, 8]
i = 1
min_val = arr[0]
while i < len(arr):
    if arr[i] < min_val:
        min_val = arr[i]
    i += 1
print(min_val)",1
"nums = [2, 4, 6]
valid = True
for x in nums:
    if x >= 10:
        valid = False
        break
print(valid)","nums = [2, 4, 6]
i = 0
valid = True
while i < len(nums):
    if nums[i] >= 10:
        valid = False
        break
    i += 1
print(valid)",1
"for i in range(5):
    print(i)","a = 5
b = 7
print(a * b)",0
"x = 12
is_big = x > 10
print(is_big)","i = 0
while i < 4:
    print(i)
    i += 1",0
"nums = [3, 6, 9, 12]
total = 0
for x in nums:
    total += x
print(total)","nums = [3, 6, 9, 12]
i = 0
total = 0
while i < len(nums):
    total = total + nums[i]
    i += 1
print(total)",1
"arr = [5, 1, 4, 2]
count = 0
for x in arr:
    if x > 3:
        count += 1
print(count)","arr = [5, 1, 4, 2]
i = 0
count = 0
while i < len(arr):
    if arr[i] > 3:
        count += 1
    i += 1
print(count)",1
"nums = [1, 3, 5, 7]
flag = True
for x in nums:
    if x % 2 == 0:
        flag = False
        break
print(flag)","nums = [1, 3, 5, 7]
i = 0
flag = True
while i < len(nums):
    if nums[i] % 2 == 0:
        flag = False
        break
    i += 1
print(flag)",1
"arr = [10, 20, 30]
total = 0
for x in arr:
    total += x * 2
print(total)","arr = [10, 20, 30]
i = 0
total = 0
while i < len(arr):
    total = total + arr[i] * 2
    i += 1
print(total)",1
"nums = [2, 4, 6, 8]
count = 0
for x in nums:
    count += 1
print(count)","nums = [2, 4, 6, 8]
i = 0
count = 0
while i < len(nums):
    count += 1
    i += 1
print(count)",1
"arr = [7, 3, 9, 1]
max_val = arr[0]
for x in arr:
    if x > max_val:
        max_val = x
print(max_val)","arr = [7, 3, 9, 1]
i = 1
max_val = arr[0]
while i < len(arr):
    if arr[i] > max_val:
        max_val = arr[i]
    i += 1
print(max_val)",1
"nums = [1, 2, 3, 4, 5]
total = 0
for x in nums:
    if x < 4:
        total += x
print(total)","nums = [1, 2, 3, 4, 5]
i = 0
total = 0
while i < len(nums):
    if nums[i] < 4:
        total = total + nums[i]
    i += 1
print(total)",1
"arr = [4, 6, 8, 10]
flag = False
for x in arr:
    if x == 6:
        flag = True
        break
print(flag)","arr = [4, 6, 8, 10]
i = 0
flag = False
while i < len(arr):
    if arr[i] == 6:
        flag = True
        break
    i += 1
print(flag)",1
"for i in range(6):
    print(i * i)","i = 0
while i < 6:
    print(i * i)
    i += 1",0
"x = 9
result = x + x
print(result)","y = 9
result = y * 2
print(result)",0
"nums = [5, 10, 15, 20]
total = 0
for x in nums:
    total += x
print(total)","nums = [5, 10, 15, 20]
i = 0
total = 0
while i < len(nums):
    total = total + nums[i]
    i += 1
print(total)",1
"arr = [1, -2, 3, -4, 5]
count = 0
for x in arr:
    if x < 0:
        count += 1
print(count)","arr = [1, -2, 3, -4, 5]
i = 0
count = 0
while i < len(arr):
    if arr[i] < 0:
        count += 1
    i += 1
print(count)",1
"nums = [2, 3, 4, 5]
product = 1
for x in nums:
    product *= x
print(product)","nums = [2, 3, 4, 5]
i = 0
product = 1
while i < len(nums):
    product = product * nums[i]
    i += 1
print(product)",1
"arr = [9, 4, 7, 2]
min_val = arr[0]
for x in arr:
    if x < min_val:
        min_val = x
print(min_val)","arr = [9, 4, 7, 2]
i = 1
min_val = arr[0]
while i < len(arr):
    if arr[i] < min_val:
        min_val = arr[i]
    i += 1
print(min_val)",1
"nums = [1, 2, 3, 4, 5]
flag = False
for x in nums:
    if x == 4:
        flag = True
        break
print(flag)","nums = [1, 2, 3, 4, 5]
i = 0
flag = False
while i < len(nums):
    if nums[i] == 4:
        flag = True
        break
    i += 1
print(flag)",1
"nums = [6, 8, 10]
all_even = True
for x in nums:
    if x % 2 != 0:
        all_even = False
        break
print(all_even)","nums = [6, 8, 10]
i = 0
all_even = True
while i < len(nums):
    if nums[i] % 2 != 0:
        all_even = False
        break
    i += 1
print(all_even)",1
"arr = [3, 6, 9]
total = 0
for x in arr:
    total += x * x
print(total)","arr = [3, 6, 9]
i = 0
total = 0
while i < len(arr):
    total = total + arr[i] * arr[i]
    i += 1
print(total)",1
"nums = [1, 3, 5, 7]
count = 0
for x in nums:
    count += 1
print(count)","nums = [1, 3, 5, 7]
i = 0
count = 0
while i < len(nums):
    count += 1
    i += 1
print(count)",1
"for i in range(4):
    print(i + 1)","i = 0
while i < 4:
    print(i + 1)
    i += 1",0
"x = 14
result = x - 4
print(result)","y = 14
result = y / 2
print(result)",0
"nums = [1, 2, 3, 4, 5]
total = 0
for x in nums:
    total += x
print(total)","nums = [1, 2, 3, 4, 5]
i = 0
total = 0
while i < len(nums):
    total = total + nums[i]
    i += 1
print(total)",1
"arr = [3, -2, 5, -7, 9]
count = 0
for x in arr:
    if x < 0:
        count += 1
print(count)","arr = [3, -2, 5, -7, 9]
i = 0
count = 0
while i < len(arr):
    if arr[i] < 0:
        count += 1
    i += 1
print(count)",1
"nums = [2, 4, 6, 8]
flag = True
for x in nums:
    if x % 2 != 0:
        flag = False
print(flag)","nums = [2, 4, 6, 8]
i = 0
flag = True
while i < len(nums):
    if nums[i] % 2 != 0:
        flag = False
    i += 1
print(flag)",1
"arr = [5, 3, 9, 1]
max_val = arr[0]
for x in arr:
    if x > max_val:
        max_val = x
print(max_val)","arr = [5, 3, 9, 1]
i = 1
max_val = arr[0]
while i < len(arr):
    if arr[i] > max_val:
        max_val = arr[i]
    i += 1
print(max_val)",1
"nums = [1, 2, 3, 4]
product = 1
for x in nums:
    product *= x
print(product)","nums = [1, 2, 3, 4]
i = 0
product = 1
while i < len(nums):
    product = product * nums[i]
    i += 1
print(product)",1
"n = 10
for i in range(n):
    if i % 2 == 0:
        print(i)","n = 10
i = 0
while i < n:
    if i % 2 == 0:
        print(i)
    i += 1",1
"x = 7
if x > 0:
    print(""Positive"")
else:
    print(""Negative"")","x = -7
if x > 0:
    print(""Positive"")
else:
    print(""Negative"")",1
"nums = [1, 3, 5]
count = 0
for _ in nums:
    count += 1
print(count)","nums = [1, 3, 5]
i = 0
count = 0
while i < len(nums):
    count += 1
    i += 1
print(count)",1
"a = 5
b = 10
c = a + b
print(c)","a = 5
b = 10
print(a * b)",0
"nums = [2, 4, 6]
print(all(x % 2 == 0 for x in nums))","nums = [1, 3, 5]
print(sum(nums))",0
"nums = [10, 20, 30]
s = 0
for i in range(len(nums)):
    s += nums[i]
print(s)","nums = [10, 20, 30]
print(sum(nums))",1
"arr = [1, 4, 7, 9]
found = False
for x in arr:
    if x == 7:
        found = True
print(found)","arr = [1, 4, 7, 9]
print(7 in arr)",1
"nums = [5, 8, 12]
min_val = nums[0]
for x in nums:
    if x < min_val:
        min_val = x
print(min_val)","nums = [5, 8, 12]
print(min(nums))",1
"s = ""hello""
count = 0
for ch in s:
    if ch in ""aeiou"":
        count += 1
print(count)","s = ""hello""
print(sum(1 for c in s if c in ""aeiou""))",1
"nums = [1, 2, 3, 4, 5]
even = []
for x in nums:
    if x % 2 == 0:
        even.append(x)
print(even)","nums = [1, 2, 3, 4, 5]
print(list(filter(lambda x: x % 2 == 0, nums)))",1
"n = 5
fact = 1
for i in range(1, n+1):
    fact *= i
print(fact)","import math
print(math.factorial(5))",1
"nums = [3, 6, 9]
total = 0
for x in nums:
    total += x*x
print(total)","nums = [3, 6, 9]
print(sum(map(lambda x: x*x, nums)))",1
"s = ""madam""
rev = s[::-1]
print(s == rev)","s = ""madam""
i = 0
j = len(s) - 1
flag = True
while i < j:
    if s[i] != s[j]:
        flag = False
        break
    i += 1
    j -= 1
print(flag)",1
"nums = [1, 2, 3]
res = 0
for i in nums:
    res += i
print(res / len(nums))","nums = [1, 2, 3]
avg = sum(nums) / len(nums)
print(avg)",1
"a = 15
b = 20
if a > b:
    print(a)
else:
    print(b)","a = 15
b = 20
print(max(a, b))",1
"nums = [1, 2, 3, 4]
s = 0
for x in nums:
    s += x
print(s)","nums = [1, 2, 3, 4]
print(sum(nums))",1
"nums = [5, 10, 15]
p = 1
for x in nums:
    p *= x
print(p)","from functools import reduce
nums = [5, 10, 15]
print(reduce(lambda a,b:a*b, nums))",1
"nums = [3, 6, 9]
cnt = 0
for x in nums:
    if x % 3 == 0:
        cnt += 1
print(cnt)","nums = [3, 6, 9]
print(len(nums))",1
"arr = [1, 4, 2, 8]
m = arr[0]
for x in arr:
    if x > m:
        m = x
print(m)","arr = [1, 4, 2, 8]
print(max(arr))",1
"arr = [5, 3, 7]
m = arr[0]
for x in arr:
    if x < m:
        m = x
print(m)","arr = [5, 3, 7]
print(min(arr))",1
"s = ""python""
count = 0
for c in s:
    count += 1
print(count)","s = ""python""
print(len(s))",1
"nums = [1, 2, 3, 4, 5]
even = []
for x in nums:
    if x % 2 == 0:
        even.append(x)
print(even)","nums = [1, 2, 3, 4, 5]
print([x for x in nums if x % 2 == 0])",1
"nums = [1, 2, 3, 4]
odd = []
for x in nums:
    if x % 2 != 0:
        odd.append(x)
print(odd)","nums = [1, 2, 3, 4]
print([x for x in nums if x % 2 != 0])",1
"nums = [2, 4, 6]
flag = True
for x in nums:
    if x % 2 != 0:
        flag = False
print(flag)","nums = [2, 4, 6]
print(all(x % 2 == 0 for x in nums))",1
"nums = [1, 3, 5]
flag = True
for x in nums:
    if x % 2 == 0:
        flag = False
print(flag)","nums = [1, 3, 5]
print(all(x % 2 != 0 for x in nums))",1
"n = 5
fact = 1
for i in range(1, n+1):
    fact *= i
print(fact)","import math
print(math.factorial(5))",1
"nums = [2, 3, 4]
s = 0
for x in nums:
    s += x*x
print(s)","nums = [2, 3, 4]
print(sum(x*x for x in nums))",1
"nums = [1, 2, 3]
avg = 0
for x in nums:
    avg += x
print(avg/len(nums))","nums = [1, 2, 3]
print(sum(nums)/len(nums))",1
"s = ""madam""
rev = """"
for c in s:
    rev = c + rev
print(s == rev)","s = ""madam""
i,j = 0,len(s)-1
ok = True
while i < j:
    if s[i] != s[j]:
        ok = False
        break
    i+=1; j-=1
print(ok)",1
"a = 10
b = 20
if a > b:
    print(a)
else:
    print(b)","a = 10
b = 20
print(max(a,b))",1
"arr = [1, 2, 3]
found = False
for x in arr:
    if x == 2:
        found = True
print(found)","arr = [1, 2, 3]
print(2 in arr)",1
"nums = [5, 6, 7]
total = 0
i = 0
while i < len(nums):
    total += nums[i]
    i += 1
print(total)","nums = [5, 6, 7]
print(sum(nums))",1
"nums = [1, 2, 3]
i = 0
while i < len(nums):
    print(nums[i])
    i += 1","nums = [1, 2, 3]
for x in nums:
    print(x)",1
"s = ""hello""
vowels = 0
for c in s:
    if c in ""aeiou"":
        vowels += 1
print(vowels)","s = ""hello""
print(sum(1 for c in s if c in ""aeiou""))",1
"nums = [4, 5, 6]
res = []
for x in nums:
    res.append(x*2)
print(res)","nums = [4, 5, 6]
print(list(map(lambda x: x*2, nums)))",1
"nums = [10, 20]
print(nums[0] + nums[1])","nums = [10, 20]
print(sum(nums))",1
"nums = [2, 3]
print(nums[0] * nums[1])","nums = [2, 3]
print(nums[0] * nums[1])",1
"x = 7
if x > 0:
    print(""Positive"")
else:
    print(""Negative"")","x = 7
print(""Positive"" if x > 0 else ""Negative"")",1
"nums = [1, 2, 3]
print(len(nums))","nums = [1, 2, 3]
print(len(nums))",1
"nums = [3, 1, 2]
nums.sort()
print(nums)","nums = [3, 1, 2]
print(sorted(nums))",1
"nums = [1, 2, 3]
print(nums[::-1])","nums = [1, 2, 3]
print(list(reversed(nums)))",1
"nums = [5, 6, 7]
print(nums[0])","nums = [5, 6, 7]
print(min(nums))",1
"nums = [5, 6, 7]
print(nums[-1])","nums = [5, 6, 7]
print(max(nums))",1
"nums = [1, 2, 3]
s = 0
for i in range(len(nums)):
    s += nums[i]
print(s)","nums = [1, 2, 3]
print(sum(nums))",1
"nums = [2, 4, 6]
count = 0
for i in nums:
    count += 1
print(count)","nums = [2, 4, 6]
print(len(nums))",1
"nums = [1, 3, 5]
for i in range(len(nums)):
    print(nums[i])","nums = [1, 3, 5]
print(*nums, sep=""\n"")",1
"nums = [1, 2, 3]
if len(nums) > 0:
    print(""Not empty"")","nums = [1, 2, 3]
print(bool(nums))",1
"nums = [0, 1, 0]
zero = 0
for x in nums:
    if x == 0:
        zero += 1
print(zero)","nums = [0, 1, 0]
print(nums.count(0))",1
"s = ""abc""
for i in range(len(s)):
    print(s[i])","s = ""abc""
print(*s, sep=""\n"")",1
"nums = [2, 3, 4]
prod = 1
for x in nums:
    prod *= x
print(prod)","nums = [2, 3, 4]
print(reduce(lambda a,b:a*b, nums))",1
"nums = [1, 2, 3]
print(sum(nums))","nums = [1, 2, 3]
print(sum(nums))",1
"nums = [1, 2, 3]
print(min(nums))","nums = [1, 2, 3]
print(min(nums))",1
"nums = [1, 2, 3]
print(max(nums))","nums = [1, 2, 3]
print(max(nums))",1
"nums = [1, 2, 3]
print(all(x > 0 for x in nums))","nums = [1, 2, 3]
print(all(x > 0 for x in nums))",1
